가게이름,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,재료가 신선해요,가성비가 좋아요,양이 많아요,인테리어가 멋져요,혼밥하기 좋아요,링크,address,tel,menu1,price,menu2,price2,menu3,price3,menu4,price4
또보겠지떡볶이집 호호피크닉점,0.406,0.128,0.108,0.058,0.095,0.078,0.08,0.048,0,173257589,서울 마포구 독막로3길 34 2층,0507-1305-5819,,,,,,,,
피자스쿨 합정역점,0.328,0.174,0.021,0.051,0.097,0.256,0.036,0,0.036,2091374,서울 마포구 독막로2길 6,02-324-3370,크림치즈볼,"4,900원",슈크림볼,"4,900원",로제치즈볼,"4,900원",치즈피자,"8,900원"
돌깨마을맷돌순두부 합정역점,0.396,0.111,0.024,0.061,0.077,0.127,0.073,0.006,0.125,199590096,서울 마포구 성지1길 14,02-332-3647,해물순두부,"8,000원",쫄면순두부,"8,000원",돼지순두부,"8,000원",만두순두부,"8,000원"
오쿠보이자카야,0.386,0.25,0.136,0.114,0,0.114,0,0,0,120900640,서울 마포구 월드컵로3길 31-8 1.5층 오쿠보이자카야,0507-1380-3555,수제 야끼도리8종,"18,000원",,,,,,
청돈옥 홍대본점,0.356,0.253,0.085,0.169,0.073,0,0,0.064,0,127233678,서울 마포구 잔다리로6길 10 1층 청돈옥,0507-1319-0460,삼겹살(150g),"15,000원",청국장,"7,000원",목살(150g),"13,500원",돈마호크(360g),"32,000원"
한송이꽃이,0.288,0.288,0,0.119,0,0.102,0,0.203,0,3599304,서울 마포구 양화로6길 72 2층,0507-1320-5202,벌교꼬막무침,"19,000원",프리미엄냉장육회,"17,000원","꽃사와600cc(레몬,애플,망고,레드,자몽,라임,청포도,파인 택1)","8,500원","꽃짐빔, 꽃산토리하이볼300cc(레몬,라임,자몽 택1)","7,000원"
서양면옥,0.309,0.132,0.219,0.056,0.112,0.03,0.035,0.106,0,180095590,서울 마포구 연희로1길 43 1층 101호,0507-1472-0716,재훈이자냐,"19,900원",성욱이베네딕,"16,900원",장조림오일파스타,"17,900원",이베리코 등심스테이크,변동
이화원,0.478,0.183,0.109,0.07,0.106,0,0,0.053,0,1155524,서울 서대문구 연희맛로 13,02-334-1888,실고기 짬봉,"8,000원",기스면,"8,000원",고추덮밥,"10,000원",굴짬뽕,"13,000원"
나성타코,0.346,0.124,0.098,0.039,0.091,0.093,0.055,0.085,0.069,118518975,서울 마포구 잔다리로2길 24 2층,02-332-8180,나성타코,"3,900원",퀘사디야,"8,900원",나성나초,"11,900원",나성 감자튀김,"11,900원"
맛깔1987,0.265,0.155,0.11,0.055,0.202,0.06,0.055,0.098,0,183792098,서울 마포구 동교로 212-9 1층,010-8236-1986,회반 해물반 2인,"65,000원",모듬회 2인,"55,000원",모듬해물 2인,"55,000원",우니육회,"50,000원"
싸다김밥 홍대역점,0.291,0.08,0.027,0.054,0.064,0.181,0.091,0.006,0.206,194180557,서울 마포구 양화로 114 101호 102호 1층 싸다김밥,02-336-3919,싸다김밥,"3,500원",,,,,,
주방일기,0.251,0.146,0.147,0.069,0.109,0.095,0.083,0.1,0,111734426,서울 마포구 양화로 178-8 2층 주방일기,0507-1351-9812,어향가지,"16,000원",유린기,"22,000원",등심탕수육,"19,000원",고량하이볼,"7,000원"
고기꾼김춘배 홍대본점,0.374,0.206,0,0.088,0.115,0.077,0.057,0.084,0,3687392,서울 마포구 홍익로3길 36 3층,0507-1432-3663,소+돼지 A set,"71,000원",하이볼(쿠바 리브레),"10,000원",콜키지 프리,무료,국내산生오겹살,"16,000원"
참치가,0.307,0.186,0.062,0.093,0.152,0.115,0.084,0,0,29351574,서울 마포구 양화로 100-10 2층,010-9719-0094,일품참치,"34,000원",모듬참치,"52,000원",스페셜,"64,000원",V I P,"94,000원"
거문양 ON Tapas,0.338,0.276,0.176,0.051,0,0.099,0,0.059,0,127077945,서울 마포구 양화로6길 57-12 1층,0507-1472-8401,이베리코 블랙라벨 특수부위 3종,"38,000원",플루마 특수부위 한판세트,"48,000원",ON Tapas 오늘의 타파스,변동,거문양 감바스,"17,000원"
김밥천국 서교점,0.287,0.129,0.016,0.032,0.054,0.179,0.082,0,0.221,3760055,서울 마포구 와우산로 155-1,02-326-1286,야채김밥,"2,000원",참치마요김밥,"3,500원",새우날치알김밥,"4,500원",참치볶음밥,"6,000원"
겐로쿠우동 홍대본점,0.338,0.088,0.065,0.058,0.047,0.108,0.142,0,0.154,1347512,서울 마포구 어울마당로 39,02-325-8555,지도리우동,"9,000원",니꾸우동,"9,000원",니꾸소바,"9,500원",키즈네우동,"8,000원"
미츠루,0.248,0.163,0.136,0.077,0.114,0.059,0.035,0.02,0.149,186222528,서울 마포구 동교로 266-8 지층 102호 미츠루,0507-1333-3716,아부라소바,"9,000원",멸치 아부라소바,"9,500원",카니미소 아부라소바,"9,500원",미니차슈동,"4,000원"
마이브로치,0.205,0.227,0.159,0,0.136,0.068,0,0.205,0,174755268,서울 마포구 양화로1길 54 대명풀하우스 1층,0507-1449-3383,스위스 라끌렛 셋트 [예약만가능],"39,000원",브로치 베이직,"28,000원",감바스 알리올리오,"35,000원",유기농 야채 브로치피자,"35,000원"
플레이트946,0.276,0.191,0.058,0.102,0.09,0.14,0,0.144,0,156668717,서울 마포구 독막로19길 20-6 1층,0507-1315-6432,부채살스테이크,"18,000원",라자냐,"15,000원",살치살스테이크,"22,000원",라구파스타,"15,000원"
서대문 양꼬치 BAR,0.517,0.145,0.159,0,0.068,0.068,0.043,0,0,188248035,서울 마포구 동교로 251 2층,02-6085-5888,양고기 전골,"25,000원",꼬치류 주문 방법,변동,양삼겹 5EA,"7,500원",마라쪽갈비 5EA,"8,000원"
향미각,0.426,0.131,0.024,0.036,0.057,0.158,0.083,0,0.086,1315480,서울 마포구 동교로 156-16,02-323-5511,짜장면,"7,000원",간짜장,"8,000원",짬뽕,"8,000원",해물쟁반짜장,"8,000원"
램스일레븐,0.357,0.209,0.082,0.098,0.168,0,0.029,0.057,0,3645470,서울 마포구 독막로 67-8 1층 램스일레븐,0507-1336-4532,양갈비(250g),"28,000원",양등심(200g),"26,000원",특수부위(200g),"26,000원",어묵탕,"18,000원"
꼬꼬댁옻닭닭곰탕,0.404,0.17,0.055,0.043,0.094,0.136,0.055,0,0.043,143333773,서울 마포구 동교로 26,02-3142-8587,옻오리,"45,000원",오리백숙,"45,000원",토종옻닭,"42,000원",토종백숙,"42,000원"
부영각,0.443,0.161,0.123,0.052,0.102,0.057,0.063,0,0,1162620,서울 마포구 토정로 268,02-716-2413,부추복어살(대),"50,000원",류산슬(대),"50,000원",짜장면,"7,000원",짬뽕,"8,000원"
키츠스키야키,0.231,0.176,0.096,0.121,0.17,0.035,0.036,0.135,0,199100749,서울 마포구 양화로7길 6-5 1층 키츠 스키야키,070-7700-7065,오리지널 관서식 스키야키 1인,"23,000원",버터 스키야키 1인,"25,000원",관서식 스키야키 런치 프로모션(평일),"17,000원",버터 스키야키 런치 프로모션(평일),"19,000원"
행복한깻잎김밥,0.366,0.119,0.034,0.025,0.059,0.166,0.097,0,0.134,137608031,서울 마포구 와우산로 151 1층,02-332-1355,행복한김밥,"2,000원",참치김밥,"3,500원",치즈김밥,"3,500원",소고기김밥,"3,500원"
콘드,0.175,0.237,0.1,0.15,0.05,0.062,0,0.188,0.037,118082715,서울 마포구 월드컵로3길 32 2층,010-9239-0410,체리우유빙수,"8,500원",그릭볼,"8,300원",메론 소다,"6,300원",참치 샌드위치,"6,800원"
초밥맛짱,0.329,0.126,0.065,0.026,0.074,0.177,0.121,0,0.082,3434943,서울 마포구 독막로8길 12 합정동빌딩,02-333-0092,특사시미,"50,000원",회덮밥,"7,000원",특생선초밥,"20,000원",맛짱초밥,"15,000원"
군산아구찜,0.391,0.15,0.032,0.04,0.101,0.116,0.146,0,0.025,3872900,서울 마포구 포은로 18 1층,02-3143-0663,아구찜/탕 (소),"40,000원",황태찜 (중),"45,000원",모듬찜/탕 (소),"50,000원",대구뽈탕 1인,"12,000원"
틈,0.308,0.31,0,0.11,0,0,0,0.272,0,2060162,서울 마포구 와우산로3길 46 틈 와인&스테이크,0507-1431-0825,스트립 로인 스테이크 100g,"23,000원",갈릭 페퍼 오일파스타,"24,000원",절인연어와 사과소스,"24,000원",Wine,"10,000~1,400,000"
후라토식당 상수직영점,0.344,0.188,0.083,0.098,0.087,0.04,0.05,0.073,0.039,144225864,서울 마포구 독막로15길 3-14,0507-1358-7090,규카츠,"18,000원",반숙 오므라이스,"12,000원",스테키 정식,"18,000원",스테키 덮밥,"18,000원"
종로계림닭도리탕원조 연남점,0.393,0.123,0.056,0.095,0.115,0.091,0.127,0,0,199338890,서울 마포구 동교로38길 33 102호,02-335-3386,마늘닭도리탕 (소) 2인,"26,000원",마늘닭도리탕 (중) 3인,"38,000원",칼국수사리,"3,000원",마늘닭도리탕 (대) 4인,"50,000원"
김밥세상 연남동2호점,0.443,0.127,0,0.013,0.051,0.165,0.051,0,0.152,1186473,서울 마포구 동교로27길 77,02-324-6646,,,,,,,,
이억만껍데기,0.405,0.145,0.081,0.025,0.084,0.165,0.094,0,0,170392735,서울 마포구 동교로 255,02-334-8889,벌집껍데기,"7,000원",이베리코 목살,"12,000원",항정껍데기,"13,000원",주먹고기,"13,000원"
구스토타코,0.434,0.124,0.144,0.053,0.084,0,0.053,0.071,0.038,3323766,서울 마포구 와우산로 41,02-338-8226,타코,"7,000~8,000",퀘사디야,"10,000~11,000",부리토,"11,000원",나초,"12,000~14,000"
쿠차라 합정역점,0.324,0.073,0.08,0.073,0.171,0.05,0.088,0,0.142,173992246,서울 마포구 양화로 45 메세나폴리스 지하1층,02-332-2155,치킨 부리또,"7,900원",두부 부리또볼,"7,900원",스테이크 샐러드,"10,900원",나초&살사,"3,500원"
그동네떡볶이 홍대본점,0.433,0.083,0.149,0.016,0.045,0.111,0.082,0.009,0.073,3248115,서울 마포구 와우산로27길 14 그동네떡볶이,0507-1362-5414,떡볶이,"4,000원",라볶이,"6,000원",치즈떡볶이,"5,500원",마늘기름떡볶이,"5,500원"
대복희 본점,0.242,0.127,0.178,0.079,0.154,0.124,0.063,0.018,0.015,118266804,"서울 마포구 홍익로3길 32 1,2층",0507-1329-1889,,,,,,,,
브렛피자,0.329,0.108,0.16,0.121,0.182,0.009,0.017,0.074,0,180033847,서울 마포구 와우산로 29-8 1층,0507-1320-3284,마르게리타,"21,000원",수퍼 페퍼로니,"24,000원",타르투파타,"24,000원",에푸아스,"23,000원"
그레이비 버거,0.214,0.134,0.078,0.134,0.137,0.019,0.034,0.196,0.056,142442509,서울 마포구 동교로38길 14 지1층,070-7661-2023,그레이비버거,"10,800원",크리스피 크랩 버거,"13,800원",클레식 치즈버거,"8,800원",필리 치즈 스테이크 버거,"9,800원"
유니의우아한식탁,0.283,0.196,0.058,0.102,0.064,0.08,0.031,0.186,0,186923885,서울 마포구 동교로38길 27-8 2층 유니의우아한식탁,02-6085-7942,눈꽃치즈 파스타,"17,000원",찹스테이크 토마토 리조또,"18,000원",새우 칠리토마토 파스타,"17,000원",아라비아따 파스타,"15,000원"
스윗사워솔트,0.292,0.138,0.128,0.089,0.125,0.049,0.033,0.052,0.095,121215448,서울 마포구 연남로5길 19 . 1층 101호,02-335-7111,잠봉뵈흐 샌드위치,"10,000원",연어그라블라스 샌드위치,"14,500원",생참치 빵바나 니스와즈,"14,500원",아메리카노,"3,500원"
구공탄곱창 합정2호점,0.46,0.178,0.059,0.03,0.05,0.098,0.098,0.027,0,3746802,서울 마포구 성지길 18 구공탄곱창,0507-1352-9092,막창구이,"13,000원",곱창구이,"13,000원",연탄갈매기,"13,000원",오돌갈비,"13,000원"
진어참치,0.273,0.181,0.117,0.042,0.209,0.076,0.085,0,0.018,141720653,서울 마포구 연남로3길 34,0507-1345-7412,참치회(참),"54,000원",참치회(치),"43,000원",참치회(어),"70,000원",참치회(진),"85,000원"
진진,0.413,0.111,0.189,0.034,0.141,0.058,0.039,0,0.014,3620292,서울 마포구 월드컵북로1길 60 1층 진진,0507-1447-8879,멘보샤(회원가),"20,000원",대게살볶음(회원가),"29,600원",깐풍기(회원가),"20,800원",마파두부(회원가),"17,600원"
디이롱,0.308,0.099,0.093,0.071,0.096,0.128,0.017,0.014,0.174,162725805,서울 마포구 동교로30길 17 1층,0507-1330-6995,샤오롱빠오(돼지고기),"5,000원",단단미엔(마라비빔면),"8,000원",우육면,"9,000원",훈툰(새우완탕),"7,000원"
고씨네 합정교보문고점,0.384,0.142,0.038,0.033,0.09,0.057,0.123,0,0.133,60242706,서울 마포구 월드컵로1길 14 A동 L층,0507-1418-4797,돈까스 카레,"8,500원",소고기 카레,"8,500원",버섯카레세트,"11,500원",포크카레세트,"14,500원"
바다회사랑,0.381,0.091,0.116,0.016,0.225,0.06,0.112,0,0,1879956,서울 마포구 동교로27길 60,02-338-0872,광어(소),"45,000원",광어(중),"60,000원",광어(대),"70,000원",우럭(중),"60,000원"
코노미,0.405,0.097,0.095,0.03,0.078,0.163,0.042,0.046,0.044,3081532,서울 마포구 잔다리로6길 28,02-333-3036,오코노미야키,"9,900원",야끼소바,"9,500원",맥주세트,"27,500원",하이볼세트,"32,500원"
연남동질리,0.364,0.106,0.045,0.032,0.098,0.178,0.09,0.053,0.033,173356455,서울 마포구 동교로38길 23 지층 우측,02-6949-5651,오리지날 까르보나라,"10,000원",봉골레 파스타,"12,000원",로제파스타&닭다리살구이,"13,000원",해산물토마토파스타,"11,000원"
신안동장,0.394,0.162,0.024,0.024,0.078,0.14,0.132,0.013,0.032,3528823,서울 마포구 성미산로 98,0504-3142-0249,[주문율1위] 탕짜면,"9,000원",[hot 인기메뉴] 짜장면,"7,000원",[고민될땐] 짬짜면,"8,000원",[해장1등] 짬뽕,"8,000원"
연희동 라이라이 본점,0.451,0.083,0.176,0.029,0.087,0.062,0.079,0,0.033,158888272,서울 서대문구 연희로15길 27 라이라이 1층,0507-1311-3203,,,,,,,,
청년화로1987,0.397,0.227,0.093,0.076,0.094,0,0,0.113,0,163253502,서울 마포구 동교로 219 1층 청년화로1987,070-8808-1159,이베리코 스페셜 (600g),"59,000원",이베리코 황제살 (150g),"19,000원",이베리코 꽃목살 (150g),"17,000원",이베리코 갈비살 (150g),"19,000원"
돈까스광명,0.27,0.122,0.086,0.058,0.126,0.054,0.068,0.05,0.165,164068311,서울 마포구 포은로 25 1층,0507-1311-5691,로스까스,"13,000원",,,,,,
데일리라운드,0.245,0.142,0.129,0.102,0.121,0.078,0.043,0.14,0,3407914,서울 마포구 동교로38길 27-19,0507-1419-7880,"3단 브런치 / 파스타,샌드위치,샐러드,토스트 등 구성","39,000원",생딸기 브레드 (디저트),"9,500원",치즈 블루스 (수제버거),"12,000원",홈메이드 리코타 샐러드 (샐러드),"13,500원"
양화정,0.577,0.246,0,0,0.077,0.061,0.039,0,0,1836408,서울 마포구 월드컵로1길 17,02-323-5777,한돈양념구이 (250g),"19,000원",소 양념갈비 (230g),"25,000원",소 생갈비 (200g),"27,000원",한우육회 (200g),"35,000원"
합정광안리 본점,0.293,0.156,0.108,0.056,0.203,0.083,0.081,0.02,0,122338403,서울 마포구 독막로3길 38 광안리,0507-1314-7366,광안 숙성회,"50,000원",대방어회,"55,000원",육반연반,"30,000원",생연어회,"30,000원"
명륜진사갈비 서울 합정점,0.306,0.138,0.027,0.044,0.044,0.274,0.168,0,0,154101404,서울 마포구 독막로 17 1층,02-323-6699,숯불돼지갈비 무한리필(성인),"18,900원",소갈비살 단품,"18,000원",소갈비살,"9,000원",냉면 곱빼기,"9,000원"
연남곱창타운,0.563,0.169,0.043,0.047,0.094,0.035,0.047,0,0,39868941,서울 마포구 동교로 236,0507-1438-3397,"한우곱창모듬(곱창, 대창, 염통)","19,900원",한우곱창,"20,900원",한우대창,"20,900원",황소곱마니곱창,"22,000원"
곤로 야끼니꾸,0.303,0.146,0.14,0.069,0.144,0.048,0.027,0.124,0,187223826,서울 마포구 동교로39길 9 1층 곤로 야끼니꾸,0507-1475-1153,[곤:로]모듬스페셜(2인세트),"79,000원",2인 커플 SET,"65,000원",4인 패밀리 세트,"115,000원",꽃살치살,"26,000원"
얼띵앤키친,0.301,0.202,0.049,0.146,0.094,0.033,0,0.174,0,3833817,서울 마포구 토정로5길 22,0507-1404-6028,통꽃게 로제 파스타,"20,000원",프라임 살치살 스테이크 280g,"45,000원","신선한 채소, 구운 새우와버섯 샐러드","15,000원",감바스,"16,000원"
돼지대학교 무한리필,0.284,0.167,0.02,0.027,0.056,0.3,0.146,0,0,184285984,서울 마포구 독막로 15 돼지대학교,02-338-8292,무한리필 1인,"15,900원",4~7세,"6,900원",냉면,"5,000원",볶음밥,"2,000원"
엠에프지콜리아매드포갈릭압구정점,0.411,0.067,0.044,0.1,0.244,0.022,0.033,0.022,0.056,131248996,서울 마포구 월드컵로3길 14,02-322-7319,,,,,,,,
진가,0.269,0.157,0.135,0.082,0.147,0.072,0.1,0.037,0,194009532,서울 마포구 동교로34길 12 2층 진가,02-326-1668,두반가지새우 6개,"25,000원",장폭팔보채,"41,000원",유자탕수육,"24,000원",삼선누룽지탕,"35,000원"
평안도 상원냉면,0.333,0.137,0.112,0.006,0.081,0.127,0.069,0,0.135,177547728,서울 마포구 양화로 156,02-332-8935,비빔냉면,"9,000원",물냉면,"9,000원",순면물냉면,"16,000원",순면물냉면곱빼기,"21,000원"
진짜파스타,0.265,0.194,0.034,0.076,0.055,0.211,0.108,0.025,0.032,15497029,서울 마포구 와우산로 64 전원빌딩 2층,02-322-1518,치즈볼로네제,"8,000원",알리오에올리오,"7,000원",쉬림프알리오에올리오,"8,000원","토마토,하늘재돈까스","8,500원"
식껍 합정점,0.329,0.212,0.08,0.127,0.104,0.093,0.054,0,0,102150653,서울 마포구 월드컵로1길 14 B117-1호,0507-1479-5994,꼬들목살,"16,000원",치마살,"16,000원",등심덧살,"17,000원",삼겹살,"17,000원"
모멘트커피 2호점,0,0.214,0.366,0.089,0,0,0,0.331,0,109965158,서울 마포구 월드컵북로4길 29 우퍼빌딩 지층 102호,070-8860-5287,아메리카노,"5,000원",,,,,,
곱깨비 연남본점,0.419,0.081,0.058,0.093,0.07,0.093,0.116,0.07,0,101814400,서울 마포구 성미산로 190-33 2층 곱깨비연남본점,02-3144-7837,,,,,,,,
송탄영빈루 홍대점,0.472,0.144,0.032,0.06,0.069,0.037,0.148,0,0.037,3309341,서울 마포구 와우산로21길 19-16,02-322-8884,마약짬뽕,"9,000원",영빈루수제군만두(5p),"7,000원",해물짬뽕,"15,000원",백해물짬뽕,"15,000원"
다이닝 야경,0.389,0.204,0.147,0.09,0.057,0.043,0,0.071,0,122673084,서울 마포구 성미산로 189-6 101호,0507-1367-7780,통게내장파스타,"20,000원",모둠 숙성 사시미,"35,000원",고등어 봉 초밥,"25,000원",한우채끝 육사시미,"30,000원"
마담 풍천 합정,0.252,0.147,0.11,0.067,0.135,0.052,0.13,0.107,0,108654833,서울 마포구 독막로6길 8 1층 마담풍천,02-6494-0108,마담풍천 장어 오마카세,"100,000원",장어덮밥 정식,"32,000원",,,,
뇨끼테리아 피우,0.249,0.149,0.16,0.1,0.126,0,0.037,0.178,0,184509337,서울 마포구 동교로 212-8 1층,0507-1350-7814,피우 어니언 스프,"9,000원",가지 오븐구이,"16,000원",부라따 치즈 샐러드,"16,000원",트러플 크림 뇨끼,"22,000원"
팔각도 합정역점,0.44,0.154,0.126,0.075,0.075,0.07,0.028,0.033,0,135898542,서울 마포구 양화로6길 76 1층,02-336-0555,숯불 닭갈비,"11,900원",오독 오독 닭 연골,"12,000원",쫄깃 쫄깃 닭 목살,"13,000원",매콤 꼬들 닭 안창살,"14,000원"
오물오물,0.372,0.098,0.065,0.04,0.052,0.151,0.108,0.015,0.098,107689590,서울 마포구 동교로 240 B1,0507-1391-3326,크림베이컨오므라이스,"9,900원",트리플오므라이스,"10,900원",눈꽃치즈돈까스,"10,900원",카레오므라이스,"9,900원"
대표분식,0.299,0.104,0.033,0.119,0.096,0.101,0.078,0.036,0.134,149624665,서울 마포구 와우산로 81 1층 대표분식,070-4639-0495,대표김밥,"4,000원",대표쫄면,"6,500원",대표떡볶이,"7,500원",대표 모듬튀김,"10,000원"
몽주막,0.322,0.186,0.126,0.146,0,0.054,0,0.166,0,126641186,서울 마포구 독막로9길 12 1층 몽주막,0507-1353-3844,몽도리탕,"38,000원",떡도리탕,"32,000원",곱도리탕,"32,000원",우삼겹김치찜,"29,000원"
붉은낙타,0.337,0.204,0.166,0.126,0,0,0,0.167,0,175590854,서울 마포구 잔다리로 20-11 1층 붉은낙타,070-4833-5965,통삼겹김치칼제비,"29,000원",한우육회(++1등급),"28,000원",한우타다끼(++1등급),"29,000원",한우육회물회,"29,000원"
Monster Pizza,0.454,0.092,0,0.046,0.054,0.169,0.1,0,0.085,2181779,서울 마포구 와우산로 73,070-8778-0322,PIZZA SLICE CHEESE,"4,800원",PIZZA SLICE PEPPERONI,"4,800원",PIZZA SLICE SPICE GIRLS,"4,800원",PIZZA SLICE WHOLE+PACK,"27,000원"
진미,0.376,0.151,0.164,0.044,0.107,0.094,0.023,0,0.041,190273784,서울 서대문구 연희맛로 36 1층,02-322-8338,메뉴판,변동,,,,,,
마포오리농장,0.485,0.182,0.046,0.083,0.066,0.066,0.073,0,0,126950711,서울 마포구 양화로 58 명지빌드웰  1층  마포 오리농장,0507-1313-1826,능이버섯 백숙(3~4인분),"82,000원",삼채 누룽지 백숙(3~4인분),"75,000원",생오리 주물럭(600g),"50,000원",생오리 주물럭(300g),"28,000원"
야키토리 나루토,0.309,0.23,0.187,0.056,0.091,0.056,0,0.059,0.013,129469415,서울 마포구 독막로9길 26 지1층 야키토리 나루토,02-332-6835,오마카세 7꼬치 코스,"21,800원",오마카세 5꼬치 코스,"16,800원",오마카세 3꼬치 코스,"11,800원",,
홍대삭 상수본점,0.414,0.114,0.1,0.006,0.07,0.15,0.078,0,0.069,1185666,서울 마포구 독막로 71,02-334-5205,삭 모듬 튀김(+미니단무지)(11가지),"13,500원",옛날떡볶이(1인분),"4,000원",옛날떡볶이(2인분),"7,500원",옛날떡볶이(밀키트(2인분)),"4,000원"
불철,0.276,0.271,0.153,0.094,0,0.069,0,0.138,0,157304578,서울 마포구 동교로 266-10 B102호 불철,010-7788-1974,소고기 케이크,"25,000원",네기마 야키소바,"18,000원",불철의 모듬꼬치,"18,000원",수제 치즈 츠쿠네,"13,000원"
홍대 농담,0.334,0.145,0.195,0.089,0,0.08,0,0.156,0,146356923,서울 마포구 와우산로13길 49-13 지1층,0507-1339-0578,채끝등심 매운 크림 파스타,"19,000원",삼겹 로제 파스타,"18,000원",트러플 크림 파스타,"18,000원",해산물 토마토 파스타,"18,000원"
로이소바,0.206,0.151,0.095,0.121,0.083,0.085,0.102,0.043,0.113,149911940,서울 마포구 동교로38길 30 2층,0507-1308-9746,아부라소바,"9,500원",마제소바,"10,000원",타누키소바(냉메밀),"11,000원",소키소바,"11,000원"
행진,0.431,0.182,0.164,0,0.1,0.041,0.022,0.059,0,171467735,서울 마포구 월드컵로 49 1층 행진,02-336-4275,와인 (레드/화이트),"29,000원",삼겹살,"15,000원",닭발,"13,000원",껍데기,"9,000원"
마코토,0.253,0.161,0.052,0.125,0.122,0.034,0.048,0.079,0.125,120104262,서울 마포구 와우산로21길 12-3 1층,0507-1329-8310,마코토정식,"21,000원",사케동/사케뱃살동,"16,000~17,000",사케쇼유쯔께동(연어장덮밥),"17,000원",아보카도간장새우동,"17,000원"
하나킨,0.431,0.181,0.135,0.068,0,0.105,0,0.08,0,168117341,서울 마포구 동교로32길 8 1층,0507-1322-4213,모듬꼬치 8종,"22,800원",,,,,,
훈민정음 서울합정점,0.385,0.195,0.163,0.107,0,0,0,0.149,0,182888860,서울 마포구 독막로7길 21,02-336-1447,새둥지전,"16,000원",소고기탕면,"28,000원",보쌈,"24,000원",소곱창전골,"28,000원"
형제한우곱창 합정직영점,0.373,0.22,0.044,0.068,0.155,0.078,0.062,0,0,189182597,서울 마포구 월드컵로3길 31-7 1층,0507-1326-3442,,,,,,,,
물고기초밥,0.352,0.148,0.035,0.043,0.192,0.066,0.058,0.032,0.073,3478008,서울 마포구 독막로3길 24-6,02-322-6609,물고기초밥,"23,000원",모둠초밥,"18,000원",특모둠초밥,"28,000원",회덮밥,"15,000원"
상수곱창,0.378,0.236,0.034,0.128,0.115,0.047,0.034,0.027,0,187584517,서울 마포구 독막로 55 가동 1층 1~4호,0507-1468-1226,모듬구이,"22,900원",소곱창구이,"19,900원",상수냉면,"5,900원",대창구이,"19,900원"
넌덕,0.281,0.159,0.094,0.069,0.127,0.024,0.019,0.109,0.118,125538336,서울 마포구 월드컵로5길 74 1층 넌덕,0507-1334-5187,2달의 버거 (2달마다 변경),"10,500원",치즈버거,"7,500원",넌덕버거,"8,500원",루꼴라버거,"9,500원"
무채색 숲,0.253,0.202,0.166,0.143,0,0.053,0,0.183,0,108360215,서울 마포구 동교로32길 10 지하1층 1호,0507-1377-4046,수비드 스지탕,"27,000원",수비드 아롱사태 전골,"26,000원",수비드 삼겹 김치찜,"26,000원",수비드 삼겹 물수육,"25,000원"
소홍우마라탕,0.238,0.142,0.056,0.185,0.119,0.086,0.053,0.043,0.079,146382254,서울 마포구 양화로6길 39 2층 201호,0507-1345-6785,[무료배달/합정맛집]마라탕 (麻辣烫)(1~2인분(600g)),"10,000원",[무료배달/합정맛집]마라탕 (麻辣烫)(2~3인분(900g)),"15,000원",[무료배달/합정맛집]마라탕 (麻辣烫)(3~4인분(1200g)),"20,000원",[합정맛집]마라샹궈 (麻辣香锅)(1~2인분(600g)),"16,000원"
하카타분코,0.372,0.125,0.117,0.027,0.055,0.05,0.048,0.022,0.185,1167864,서울 마포구 독막로19길 43,02-338-5536,인라멘,"10,000원",청라멘,"10,000원",챠슈덮밥,"7,000원",미니챠슈덮밥,"4,000원"
또보겠지떡볶이집 호호시스터점,0.476,0.108,0.114,0.019,0.071,0.087,0.086,0.039,0,3766356,서울 마포구 양화로6길 45 2층,0507-1403-2839,즉석 떡볶이 2인,"14,000원",즉석 떡볶이 3인,"19,000원",즉석 떡볶이 4인,"24,000원",버터갈릭감자튀김,"6,500원"
서가만두,0.329,0.165,0.175,0.034,0.109,0.126,0.024,0,0.038,190663211,서울 마포구 망원로7길 34 1층102호,02-332-6855,[랭킹1위]한돈배추속만두(10p),"7,500원",[사장강추] 한돈고기속만두(10p),"8,000원",[맛집랭킹]한돈샐러리속만두(10p),"8,000원",[맛집추천] 새우부추속만두(10p),"8,500원"
칠백식당,0.325,0.24,0.024,0.118,0.199,0.081,0.012,0,0,3599298,서울 마포구 신촌로4길 22-6,02-333-3006,칠백 한우모듬,"34,000원",칠백한우육사시미,"32,000원",칠백한우된장찌개,"3,000원",곤드레밥,"2,000원"
화담,0.332,0.207,0.218,0.1,0,0,0,0.144,0,189310931,서울 마포구 성미산로 149-8 1층 화담,0507-1407-9076,청어알젓 카펠리니,"18,000원",백김치찜,"28,000원",육전,"18,000원",크림 순대 파스타,"18,000원"
콘크리트 엔젤,0.275,0.131,0.08,0.127,0.097,0.038,0.056,0.196,0,163412838,"서울 마포구 월드컵로3길 14 마포한강푸르지오2차상가 1층 103,104호",02-335-3705,초리조 크림 콘킬리에,"17,500원",아보카도 슈림프 오픈 샌드위치,"17,000원",구름 프렌치 토스트,"14,500원",치아바타 클럽 샌드위치,"17,000원"
철길왕갈비살,0.558,0.143,0.083,0.037,0.071,0.061,0.048,0,0,1166308,서울 마포구 와우산로32길 24,0507-1408-9543,양념.생 갈비살,"20,000원",양념.생 안창살,"20,000원",생 삼겹살,"16,000원",생 목살(왕소금구이),"16,000원"
